Cross-Track Error (m),Heading Error (rad),Desired Velocity (m/s),Command Steer Angle (rad),Integral of CT Error,Integral of Heading Error,Derivative of CT Error,Derivative of Heading Error
-0.0006156228035520456,0.0006059824309867316,15.363680755607765,-0.0031479540745022335,-0.0003078114017760228,0.0003029912154933658,-0.006156228035520456,0.006059824309867316
-0.00071214837633226,0.0006586799772348866,15.363680755607765,-0.0033076836686877107,-0.0009716969917181755,0.0009353224196041749,-0.005914419054336868,0.005437106673965577
-0.0007373431448260019,0.0006917177861046675,15.363680755607765,-0.0031759228886205993,-0.0016964427522973063,0.001610521301273952,-0.005068113485309637,0.004748885541151662
-0.0007004658824836401,0.0007102971184157193,15.363680755607765,-0.002821802758675268,-0.0024153472659521275,0.0023115287535341454,-0.0038113904666864148,0.0040543548274063765
-0.0006230056130935491,0.0007137159983094226,15.363680755607765,-0.0023541247055248356,-0.003077083013740722,0.0030235353118967163,-0.002414226114651693,0.003348280130547974
-0.0005187927018518288,0.0006916565380954659,15.363680755607765,-0.0018305786377213037,-0.0036479821712134108,0.0037262215800991606,-0.0010278858097902918,0.0025389613775941896
-0.00040034334575375603,0.000658581091389883,15.363680755607765,-0.0013084106211622179,-0.0041075501950162034,0.004401340394841835,0.00023581484742678693,0.0017766461570717649
-0.0002864948697523079,0.0006105420196978398,15.363680755607765,-0.0008580166337885781,-0.004450969302769236,0.005035901950385696,0.0012279255660896265,0.0010169007494946875
-0.00017823032163148174,0.0005626333005096793,15.363680755607765,-0.00047572465407147587,-0.004683331898461131,0.0056224896104894555,0.0019888895369899323,0.00039647589333055837
-9.53176382741921e-05,0.0005148604899907616,15.363680755607765,-0.00023409208108562932,-0.004820105878413967,0.006161236505739676,0.002381024924421669,-0.00010990891017424937
-2.9863437628781922e-05,0.00044493209670276503,15.363680755607765,-6.930705727688157e-05,-0.004882696416365454,0.0066411327990864395,0.0025431494894850937,-0.0007256381382152639
