Cross-Track Error (m),Heading Error (rad),Desired Velocity (m/s),Command Steer Angle (rad),Integral of CT Error,Integral of Heading Error,Derivative of CT Error,Derivative of Heading Error
0.00023720748371492924,-0.0003120135137058,17.2704840165987,0.001131180700382511,0.00011860374185746462,-0.0001560067568529,0.0023720748371492927,-0.003120135137058
0.0003272066750093152,-0.0004118267835604428,17.2704840165987,0.0014299994921213033,0.00040081082121958683,-0.0005179269054860214,0.002758962969434748,-0.0034602312017260255
0.0004159330740500265,-0.0005016507903388145,17.2704840165987,0.001708983130143142,0.0007723806957492577,-0.00097466569243565,0.0030639369662712602,-0.003647680135761037
0.00048816001399665324,-0.0005712813168905484,17.2704840165987,0.0019086038849989095,0.0012244272397725975,-0.0015111317460503315,0.0031634660628276383,-0.003617470352456611
0.0005427298358223535,-0.0006356032433618708,17.2704840165987,0.002040753340614416,0.0017398721646821008,-0.002114574026176541,0.0030843797043653425,-0.003544493256294703
0.0005805256810764103,-0.0006915425210340942,17.2704840165987,0.0021146499737346638,0.002301499923131483,-0.0027781469083745236,0.0028671819876994317,-0.0034085788248976964
0.0006014116308477375,-0.0007331520487570131,17.2704840165987,0.0021321247070383185,0.0028924685790935566,-0.0034904941932700773,0.00253574844240251,-0.0031671056542155606
0.0006048472461406886,-0.0007741658637661075,17.2704840165987,0.002102019964387281,0.0034955980175877697,-0.004244153149531638,0.0021059361373561543,-0.0029641211262590433
0.0006027485372578522,-0.0008323306629689498,17.2704840165987,0.002082217848854072,0.00409939590928704,-0.005047401412899166,0.0017039594861747046,-0.0029539609142377834
0.0006065053894426155,-0.0008969941821383998,17.2704840165987,0.0021091127695133174,0.004704022872637274,-0.005912063835452841,0.0014283018721862432,-0.003004727285916823
0.0006165504689032164,-0.0009550760340957254,17.2704840165987,0.00217185825655007,0.00531555080181019,-0.0068380989435699036,0.0012599295268851155,-0.0029864300699076335
0.0006315959895019127,-0.0010027042207738646,17.2704840165987,0.002258643975395112,0.005939624031012754,-0.007816989071004699,0.0011676288910759702,-0.0028764262997256927
0.00064729776773004,-0.00104106474873511,17.2704840165987,0.0023499219117768142,0.00657907090962873,-0.008838873555759186,0.001098076167499679,-0.0027021717721505247
0.0006622671871164371,-0.001057198441113627,17.2704840165987,0.0024327478633817175,0.007233853387051969,-0.009888005150683554,0.0010345115860124373,-0.0023575377442914937
0.0006628585912896737,-0.0010594437777156074,17.2704840165987,0.0024583845659303773,0.007896416276255024,-0.010946326260098171,0.0008517949719486906,-0.0019493066689837703
0.0006560482661997303,-0.0010638911224827297,17.2704840165987,0.0024663278632124945,0.008555869704999726,-0.01200799371019734,0.0006350111125948985,-0.0016353176815969241
0.0006414016266827572,-0.0010502879484972638,17.2704840165987,0.0024457153614597556,0.00920459465144097,-0.013065083245687337,0.00038640327833243393,-0.0012143219759841574
0.0006115864184651895,-0.001020884680662526,17.2704840165987,0.0023702265016710905,0.009831088674014945,-0.014100669560267232,4.5100789385011904e-05,-0.0007262337273076032
0.0005701631133672879,-0.000982706659885757,17.2704840165987,0.0022601968077656243,0.010421963439931183,-0.015102465230541373,-0.00033967485502954975,-0.0002471183152810481
0.0005164170338074943,-0.0009312648257289169,17.2704840165987,0.0021115758292138405,0.010965253513518574,-0.01605945097334871,-0.000766516513749574,0.0002654653252867798
0.0004513510503581477,-0.0008720496448448856,17.2704840165987,0.0019317549219960357,0.011449137555601395,-0.01696110820863561,-0.0012186588153346202,0.0007555187287258318
0.0003789450064033306,-0.000827105361832281,17.2704840165987,0.0017470909522976194,0.011864285583982134,-0.017810685711974195,-0.0016553212484993903,0.001026736078162995
0.000315351861676895,-0.0008036311740964308,17.2704840165987,0.0016216730367896927,0.012211434018022247,-0.01862605397993855,-0.0019324732462852792,0.0010534584979138158
0.000265772497447175,-0.0007813323209493461,17.2704840165987,0.00155799032646113,0.012501996197584282,-0.01941853572746144,-0.0020318359672308645,0.0010646374359938918
0.00022671585082511812,-0.0007387295925962434,17.2704840165987,0.001524134432586128,0.012748240371720428,-0.020178566684234234,-0.002017471669753043,0.001258364523568664
0.00018533751595132156,-0.0006951168609976577,17.2704840165987,0.0014755609549318154,0.012954267055108647,-0.020895489911031184,-0.0020268253195597306,0.0014260503519978674
0.00015233241618314256,-0.0006570973342192588,17.2704840165987,0.0014577037114188395,0.01312310202117588,-0.021571597008639642,-0.0019583579866232245,0.001512400531438245
0.00011864262605007252,-0.0006178382056871712,17.2704840165987,0.0014291659300906562,0.013258589542292488,-0.022209064778592857,-0.00190856371753782,0.0015943197851048146
8.948985716726883e-05,-0.0005761620825008862,17.2704840165987,0.0014103549760318686,0.013362655783901159,-0.022806064922686886,-0.001826577304192795,0.0016833173076883478
5.545983183330521e-05,-0.0005189825626450428,17.2704840165987,0.0013573336594268081,0.013435130628401445,-0.02335363724525985,-0.0018038362064665033,0.0018970734322526803
1.3430405191157077e-05,-0.00046539259223177254,17.2704840165987,0.0012701886288281072,0.013469575746913676,-0.02384582482269826,-0.001857951683855758,0.002039332539236468
