Cross-Track Error (m),Heading Error (rad),Desired Velocity (m/s),Command Steer Angle (rad),Integral of CT Error,Integral of Heading Error,Derivative of CT Error,Derivative of Heading Error
-4.266023202426936e-05,4.72998047935562e-05,27.57701696997399,-0.00013348326344672412,-2.133011601213468e-05,2.36499023967781e-05,-0.0004266023202426936,0.000472998047935562
-7.61027624298625e-05,7.027529065525219e-05,27.57701696997399,-0.0002145908746548244,-8.071161323920061e-05,8.24374501211823e-05,-0.0006530612657039596,0.0005958664561445143
-0.00011628642042866467,8.268233365940283e-05,27.57701696997399,-0.0003016189496467393,-0.0001769062046684642,0.0001589162622785098,-0.0008996288355650776,0.0006003184005196085
-0.0001422476653638158,7.466292717585212e-05,27.57701696997399,-0.0003389469693206969,-0.00030617324756470444,0.00023758889269613728,-0.0009720712739637102,0.0004182659051201278
-0.00014842579217019784,5.3067752498938336e-05,27.57701696997399,-0.0003213088595945887,-0.00045150997633171123,0.0003014542325335325,-0.0008514958314828722,0.0001458977889445246
-0.00013786780608559157,3.335468476369875e-05,27.57701696997399,-0.00026870435141401945,-0.0005946567754596059,0.00034466545116485105,-0.0006006967158986565,-5.983878845665789e-05
-0.00011819036370091217,2.8812703694884537e-05,27.57701696997399,-0.00020921151838386196,-0.0007226858603528578,0.00037574914539414267,-0.0003125932913290879,-9.02497457264857e-05
-0.00010417317857933733,3.620155391995351e-05,27.57701696997399,-0.00017739446565742507,-0.0008338676314929825,0.0004082562742015617,-0.0001283291918003916,-6.669335366497593e-06
-9.784390278252131e-05,4.5881333145906495e-05,27.57701696997399,-0.0001703068257905785,-0.0009348761721739119,0.0004492977177344917,-4.745774059290202e-05,8.254126402698363e-05
-9.851383540494257e-05,4.8538631194401225e-05,27.57701696997399,-0.00017878144236665707,-0.0010330550412676438,0.0004965076999046456,-4.4919357052567615e-05,9.16910164629387e-05
-9.455765566643001e-05,4.004773424795381e-05,27.57701696997399,-0.00017066631385443876,-0.0011295907868033301,0.0005408008826258231,-7.869308747139226e-07,-2.170049679844834e-06
-8.297666062623477e-05,2.429362485543224e-05,27.57701696997399,-0.00014171338170263122,-0.0012183579449496626,0.0005729715621775162,0.00010463792055882716,-0.00014499467148825095
-6.380717900382035e-05,5.2610263212112045e-06,27.57701696997399,-9.547010530444123e-05,-0.0012917498647646902,0.0005877488877658379,0.00025988085884280795,-0.0002916556269833057
-4.037573687362721e-05,-4.38210353248536e-06,27.57701696997399,-4.7378590370265545e-05,-0.001343841322703414,0.0005881883491602008,0.00042564290387314403,-0.00032629214801994607
-2.454354276380155e-05,-8.989546657289793e-06,27.57701696997399,-2.388252249042214e-05,-0.0013763009625221284,0.0005815025240653132,0.0004921823223491692,-0.00030885214951454157
-6.931510491530108e-06,-1.840101631334079e-05,27.57701696997399,5.259286743994867e-06,-0.0013920384891497942,0.0005678072425799979,0.00056280401166997,-0.0003382560282941795
9.858545425624963e-06,-2.8812423545687693e-05,27.57701696997399,3.186949916298737e-05,-0.0013905749716827467,0.0005442005226504837,0.0006131128815222941,-0.00037140408889839134
2.4814829063617525e-05,-3.211617928577937e-05,27.57701696997399,5.006612424224107e-05,-0.0013732382844381255,0.0005137362212347501,0.0006376040270454457,-0.00033391021582678985
2.683245249447681e-05,-1.8733507353374534e-05,27.57701696997399,2.9017538592266438e-05,-0.0013474146436590784,0.0004883113779151732,0.000540018053317722,-0.0001515386135636933
1.0776472051355978e-05,6.868433210449897e-06,27.57701696997399,-3.8330791956322625e-05,-0.001328610181386162,0.00048237884084371084,0.00029586949414067394,0.00010875877584629122
-1.5095536749499841e-05,2.8544551834768124e-05,27.57701696997399,-0.0001204866409943256,-0.001330769713735234,0.0005000853333663198,6.874960652771201e-06,0.0002860400768225857
-5.232678171507461e-05,4.789988674671773e-05,27.57701696997399,-0.00022120484564180446,-0.0013644808729675211,0.0005383075526570627,-0.00033284089551659425,0.00040999038023620303
-0.00010127176598998691,7.286450192706088e-05,27.57701696997399,-0.00034445647315672776,-0.0014412801468200519,0.0005986897469939521,-0.0007172787715582342,0.0005623977218327401
-0.00015765317770541666,0.0001013865206017488,27.57701696997399,-0.00047828344434943705,-0.0015707426186677537,0.0006858152582583569,-0.0010994227377788255,0.0007194346694512229
-0.0002229262939271669,0.00013529618206927418,27.57701696997399,-0.0006277227100680793,-0.0017610323544840455,0.0008041566095938683,-0.0014929196601985869,0.0008968980156194135
-0.0002968586184039174,0.00016100691581407784,27.57701696997399,-0.0007856913177958563,-0.0020209248106495877,0.0009523081585355443,-0.001893591762678394,0.000967559592277735
-0.00035932299787548415,0.00018224535839385752,27.57701696997399,-0.0009059420622738041,-0.0023490156187892883,0.001123934295639512,-0.002117160346478383,0.0009847164171343256
-0.00042413699522937215,0.00020946708761655392,27.57701696997399,-0.0010320066107673588,-0.0027407456153417165,0.0013197905186447178,-0.0023214402594267493,0.0010531473342253244
-0.000487412323324772,0.00022611766658857786,27.57701696997399,-0.0011470440980300128,-0.0031965202746187887,0.0015375828957472836,-0.0024745904676709753,0.001013034900475483
-0.0005332786928692024,0.00022922209223962708,27.57701696997399,-0.0012128970898079583,-0.003706865782715776,0.0017652527751613862,-0.002441631923952895,0.0008570687881258433
-0.0005631274399961586,0.000228527013134709,27.57701696997399,-0.0012426643336809168,-0.004255068849148456,0.0019941273278485543,-0.002269051093479243,0.0006949191984218891
-0.0005802532537217669,0.0002150632811236054,27.57701696997399,-0.0012432417813411486,-0.0048267591960074185,0.0022159224749777116,-0.002012185564897637,0.00044617268951696723
-0.0005693175923953161,0.0001923260663018261,27.57701696997399,-0.0011812703193760084,-0.00540154461906596,0.0024196171486904274,-0.001546918541039423,0.00015834842940679782
-0.0005453645731165722,0.00016399378551867569,27.57701696997399,-0.0010996770402099156,-0.005958885701821904,0.0025977770746006784,-0.0010479059037709466,-0.00012800838305944195
-0.0004985327517051026,0.00012131815269807828,27.57701696997399,-0.0009704922718574375,-0.006480834364232742,0.0027404330437090555,-0.00043163372661741376,-0.0004926944299631561
-0.00042938166019468966,7.993351981606337e-05,27.57701696997399,-0.0008050877718639389,-0.006944791570182638,0.0028410588799661265,0.0002754914192258696,-0.000779337559806354
-0.00035729781240436613,3.7454968559294966e-05,27.57701696997399,-0.0006503646071864596,-0.0073381313064821655,0.002899753124153806,0.0008807097774604714,-0.0010238084694485486
-0.0002694069845250517,-1.8225142710548425e-05,27.57701696997399,-0.00046567282203522926,-0.007651483704946874,0.002909368037078179,0.0015195882531886984,-0.0013438443047292068
-0.0001708056751027756,-7.452929238116468e-05,27.57701696997399,-0.00026954584802949753,-0.007871590034760787,0.0028629908195323224,0.002139675020084172,-0.0016113648826931348
-7.020141305663363e-05,-0.00012253471727419196,27.57701696997399,-8.603205378692418e-05,-0.007992093578840492,0.002764458814704644,0.002665227398670158,-0.0017548024030491763
1.9898911144197426e-05,-0.00015862733255467276,27.57701696997399,5.618429152028696e-05,-0.00801724482979671,0.0026238777897902117,0.0029997344552831384,-0.0017638621050446055
9.994962087520723e-05,-0.0001951082503710566,27.57701696997399,0.00016988467733303783,-0.007957320563787009,0.002447009998327347,0.0031820619155135655,-0.0017748046115490758
0.0001744255244924859,-0.00023528019667296007,27.57701696997399,0.0002717916094607581,-0.007820132991103162,0.0022318157748053387,0.0032805588728499987,-0.001817312375830186
0.0002359284063238117,-0.00026401858071523066,27.57701696997399,0.0003388739289048433,-0.007614956025695013,0.0019821663861112433,0.0032432107307984147,-0.0017481499806089752
0.0002841398085830613,-0.000291351994753164,27.57701696997399,0.0003789158674946022,-0.007354921918241577,0.001704481098377046,0.003091821527555517,-0.0016787901117521914
0.0003261091083738571,-0.00031868941741830525,27.57701696997399,0.0004124048328756394,-0.007049797459763117,0.0013994603922913114,0.0029112112479162933,-0.0016220775702076224
0.0003572539619480453,-0.00034688813303329624,27.57701696997399,0.0004292376124867817,-0.006708115924602166,0.0010666716170655106,0.0026650351444241324,-0.0015835063357606998
0.0003917849989947908,-0.00037910576002619933,27.57701696997399,0.0004666138832899107,-0.006333596444130748,0.0007036746705357628,0.002494401818590158,-0.0015884836110124185
0.00042590722583422827,-0.0004150915733012184,27.57701696997399,0.0005130184556971979,-0.005924750331716239,0.00030657600387205396,0.002351076277386836,-0.0016268121660557898
0.0004716914828798184,-0.0004502835053079579,27.57701696997399,0.0005943284983042055,-0.0054759509773592155,-0.00012611153543253418,0.0023398283819127752,-0.0016509547904705506
0.0005163895230125273,-0.0004865341718156557,27.57701696997399,0.0006772416187161088,-0.004981910474413043,-0.000594520373994341,0.0023207508591350785,-0.0016803327059095213
0.0005759937460502415,-0.0005374634174328818,27.57701696997399,0.000807285225011246,-0.004435718839881658,-0.0011065191686186098,0.0024406527305442832,-0.001837810810446209
0.000656648923682235,-0.000582594151106619,27.57701696997399,0.0009855278290012669,-0.0038193975050154197,-0.0016665479528883602,0.002730126576190718,-0.0019139427873990542
0.0007338180460214862,-0.000607543071811989,27.57701696997399,0.0011415856659938146,-0.0031241640201635588,-0.0022616165643476642,0.002935277401785598,-0.0017927615597389524
0.0008007303600647306,-0.0006271521370884159,27.57701696997399,0.0012690906335845625,-0.0023568898171204503,-0.0028789641687978667,0.003009884365490437,-0.0016450691422993872
0.0008647783640248195,-0.0006543551102939915,27.57701696997399,0.0013958834780128917,-0.0015241354550756753,-0.0035197177924890704,0.0030448872441293474,-0.0015932654182956403
0.0009338483056414552,-0.0006843188940122147,27.57701696997399,0.0015396495827937362,-0.000624822120242538,-0.0041890547946421735,0.0031191799417116086,-0.0015759788305893705
0.0010016940736572138,-0.0007003651191448412,27.57701696997399,0.001676067021679274,0.00034294906940679655,-0.004881396801220701,0.0031688360251800303,-0.001435311998960635
0.0010525434916858092,-0.0006998095686263639,27.57701696997399,0.0017665096598346855,0.001370067852078308,-0.005581484145106304,0.0030549514572254435,-0.00116929572170891
0.0010855487620170482,-0.0006975326432598905,27.57701696997399,0.0018205332711310207,0.002439113978929737,-0.006280155251049431,0.0027995536498320803,-0.0009359971780666226
0.0011117498789168841,-0.0007035102093375656,27.57701696997399,0.001873100621876702,0.003537763299396703,-0.006980676677348159,0.0025287358671338468,-0.0008201573827606463
0.0011397191670604928,-0.0007092170513018914,27.57701696997399,0.0019406213343319716,0.0046634978223853915,-0.007687040307667888,0.0023232319653241347,-0.0007229182401162177
0.0011617253573867408,-0.0007065839823692244,27.57701696997399,0.00199840533265541,0.005814220084609008,-0.008394940824503445,0.0021008824291401827,-0.0005675415697981141
0.0011771336522411581,-0.0007029879146358553,27.57701696997399,0.002048734213555327,0.006983649589422958,-0.009099726773005985,0.0018589792134275794,-0.0004316606686223745
0.0011934744188129374,-0.0006911379268892404,27.57701696997399,0.002106275082781917,0.008168953624950006,-0.009796789693768532,0.0016695354161841943,-0.0002454497493581705
0.0011949610097152542,-0.0006701986026191875,27.57701696997399,0.002130906281304608,0.009363171339214101,-0.010477457958522746,0.0013794979850808575,-1.046502883802263e-05
0.0011916157419730477,-0.0006412846232564107,27.57701696997399,0.0021495754885257146,0.010556459715058253,-0.011133199571460545,0.0010982686446824603,0.0002542920615214073
0.0011703532444403107,-0.0006059675351792748,27.57701696997399,0.002130894931437357,0.011737444208264933,-0.011756825650678388,0.0007052880044425857,0.0005291215783096591
0.0011438904729743431,-0.0005697410037699413,27.57701696997399,0.0021106409093003082,0.012894566066972259,-0.012344679920152996,0.00033648317212604643,0.0007622497587018438
0.0011072502748495857,-0.0005249884046287789,27.57701696997399,0.0020718371961859013,0.014020136440884224,-0.012892044624352356,-5.7788296667392715e-05,0.00103050070385753
0.0010585700392056411,-0.0004768718036309849,27.57701696997399,0.002012677765615485,0.015103046597911837,-0.013392974728482238,-0.0004898289304000905,0.0012805605849542882
0.0010046158895298965,-0.0004203915526863611,27.57701696997399,0.001947339493033808,0.016134639562279604,-0.013841606406640911,-0.0008912613946522991,0.0015611882144591822
0.0009331554179919257,-0.0003636152045825014,27.57701696997399,0.001848987328510614,0.017103525216040517,-0.014233609785275343,-0.0013788545186970704,0.0017934844309562365
0.0008659927049079624,-0.0003118176824115082,27.57701696997399,0.0017743723121098833,0.01800309927749046,-0.014571326228772347,-0.001738723816060905,0.001938282917791404
0.0007944462157542944,-0.00025351846620491614,27.57701696997399,0.0016929348754725622,0.018833318737821587,-0.01485399430308056,-0.0020730148418104492,0.0021158607164347126
0.0007186198274835207,-0.00018218545528281282,27.57701696997399,0.0016004981585544882,0.019589851759440495,-0.015071846263824424,-0.0023854338548519463,0.0023796406854657034
0.0006245604212306386,-9.519504946275958e-05,27.57701696997399,0.001461095064175699,0.020261441883797575,-0.01521053651619721,-0.0028068041199050655,0.0027378006137451496
0.0005122356370927219,-3.8078728081814006e-07,27.57701696997399,0.0012808336482249376,0.020829839912959256,-0.015258324434568999,-0.0033176104993579325,0.003101966521990953
0.0003826338620132021,8.856268107529115e-05,27.57701696997399,0.0010705666190268526,0.021277274662512217,-0.015214233487671763,-0.003892606545652124,0.003346549593957227
0.00025422337190396144,0.00016625329813430142,27.57701696997399,0.0008783524656243657,0.021595703279470798,-0.015086825498066966,-0.004352227992890288,0.003444364368319642
0.00012884662159656193,0.00023202514378218957,27.57701696997399,0.0007052470900825421,0.02178723827622106,-0.01488768627710872,-0.004700702451522958,0.0034160421708786894
2.104158641267053e-05,0.0002805520500246553,27.57701696997399,0.0005855028992130596,0.021862182380225678,-0.014631397680205297,-0.004826075052917796,0.003236097287468616
-4.534412677419187e-05,0.00031222798581262575,27.57701696997399,0.0005703100963183826,0.021850031110044917,-0.014335007662286656,-0.004552113344995126,0.002935679015092235
-0.00010070345132403916,0.0003364440109376646,27.57701696997399,0.0005715725530178647,0.0217770073209958,-0.014010671663911511,-0.0042277229599946235,0.002622064877121272
-0.00013695093796267083,0.00036384810867738323,27.57701696997399,0.0006025876917544886,0.021658180126352445,-0.013660525604103987,-0.0037885686639831688,0.0023944539698239416
-0.00015803910071661407,0.00038824876046145694,27.57701696997399,0.0006545294014757673,0.021510685107012803,-0.013284477169534566,-0.0032914485682948033,0.002180922809711167
-0.00016291157660201276,0.00040115014936280627,27.57701696997399,0.0007333797289563413,0.02135020976835349,-0.012889777714622434,-0.00273729860938119,0.0019016767434123121
-0.00015462196770392851,0.0004121392150367193,27.57701696997399,0.0008262827021759445,0.02119144299620052,-0.012483133032422671,-0.0021642478722383894,0.001655817932554737
-0.00014302845938837376,0.00043170269821801916,27.57701696997399,0.0009045704077907058,0.021042617782654368,-0.012061212075795302,-0.0016653527289627295,0.0015326099737384199
-0.00013471497138489426,0.00045567070703762835,27.57701696997399,0.000957146207281123,0.020903746067267734,-0.011617525373167478,-0.0012869841600287829,0.001471844604146063
-0.00012930178743122072,0.00047284804540999293,27.57701696997399,0.0009942580755727573,0.020771737687859677,-0.011153265996943667,-0.0010037762768083354,0.0013603941158682748
-0.0001267384983789841,0.0004894503675869548,27.57701696997399,0.0010158463417527359,0.020643717544954573,-0.010672116790445194,-0.0007979688714592141,0.0012639799327736963
-0.00013084265609344134,0.0005093289044101549,27.57701696997399,0.0010131308059327729,0.02051492696771836,-0.010172727154446639,-0.0006901941467798772,0.001214879370662116
-0.0001407658800618217,0.0005288197859207489,27.57701696997399,0.0009927359552595902,0.020379122699640727,-0.009653652809281188,-0.0006549154288960845,0.0011711820442744034
-0.00015599723581470964,0.0005468612853504343,27.57701696997399,0.0009583917327459751,0.020230741141702462,-0.009115812273645597,-0.000674306766850323,0.0011222534855852883
-0.00017664119412628664,0.0005691394476308176,27.57701696997399,0.000908420619379449,0.020064421926731964,-0.008557811907154971,-0.0007393778848009641,0.0011207361453005383
-0.0002045834478667427,0.0005943663129011649,27.57701696997399,0.0008400358043801008,0.01987380960573545,-0.00797605902688898,-0.0008589660306594819,0.001146301075885418
-0.00023220731964033312,0.0006089286676480743,27.57701696997399,0.000779666262747049,0.01965541422198191,-0.00737441153661436,-0.0009539164957540341,0.0010702677416054276
-0.0002588360324665275,0.0006264092475481496,27.57701696997399,0.00072136240690433,0.01940989254592848,-0.006756742579016248,-0.001022556340400522,0.001034587969496034
-0.00029090889218908025,0.0006566903550670792,27.57701696997399,0.0006438706214542989,0.019135020083600678,-0.006115192777708634,-0.001128208457805452,0.001121763861577933
-0.00032733047510678424,0.0006849962832353213,27.57701696997399,0.0005580437798941425,0.018825900399952744,-0.005444349458557434,-0.001254184946547224,0.001175133415547782
-0.0003661940926406999,0.0007149915363746195,27.57701696997399,0.0004669989399495578,0.018479138116079003,-0.004744355548752463,-0.0013794569338469616,0.0012341569139872601
-0.00041172258917701365,0.0007529193349728844,27.57701696997399,0.0003572380392581836,0.018090179775170145,-0.004010400113078711,-0.001542542005295821,0.001354562916882893
-0.00045672405233991424,0.0007785650588140042,27.57701696997399,0.0002569624663823606,0.017655956454411682,-0.003244657916185267,-0.0016711840330865858,0.001341421694187092
-0.0004956903668944368,0.0007987368669239337,27.57701696997399,0.00017494427621228244,0.017179749244794505,-0.0024560069533162985,-0.001721571613930139,0.0012809069144251613
-0.0005278588303592232,0.0008147464409182024,27.57701696997399,0.00011022357310172743,0.016667974646167677,-0.0016492652993952304,-0.0017009991701681711,0.0011935563299321206
-0.0005449568943108359,0.0008154079650267202,27.57701696997399,8.648205990450066e-05,0.016131566783832648,-0.0008341880964227691,-0.0015471635387886186,0.0009825599436582599
-0.0005491539749978984,0.0008190041593958645,27.57701696997399,8.605044194738478e-05,0.01558451134917828,-1.6982034211476772e-05,-0.0013040163561639836,0.0008366053572580696
-0.0005506782244661358,0.0008361878293065448,27.57701696997399,7.694615717120654e-05,0.015034595249446264,0.0008106139601397279,-0.0010807792865726894,0.0008407104733082419
-0.0005588512933467663,0.0008674448017926503,27.57701696997399,3.7313361526549826e-05,0.014479830490539813,0.0016624302756893254,-0.0009585745879288419,0.0009720083189440653
-0.0005824863175604179,0.0009170070106246445,27.57701696997399,-5.335324408973645e-05,0.01390916168508622,0.002554656181897973,-0.000999152155702248,0.0012458450685178186
-0.0006302215786433526,0.0009697982449144481,27.57701696997399,-0.00020408707979359235,0.013302807736984334,0.0034980588096675193,-0.0012514450463285182,0.001499248095058248
-0.000687845822819325,0.001012453873118426,27.57701696997399,-0.00036872838646682124,0.012643774036252995,0.004489184868683957,-0.0015477663485958097,0.0016144359705383658
-0.0007525384400359165,0.0010540768569475899,27.57701696997399,-0.0005442973628776637,0.011923581904825375,0.005522450233716964,-0.0018544689871837668,0.0016992929197965152
-0.0008255589657882512,0.0010943176103441893,27.57701696997399,-0.0007338248141591276,0.011134533201913292,0.006596647467362854,-0.0021811157690806698,0.0017561556016207796
-0.0008980569495318306,0.0011349935920952695,27.57701696997399,-0.0009168383273021154,0.010272725244253251,0.007711303068582583,-0.002443621845098542,0.001806636235426821
-0.000977911096193757,0.0011719690395618396,27.57701696997399,-0.0011123324897771706,0.009334741221390457,0.008864784384411137,-0.0027252737520072397,0.0018142973514089528
