Cross-Track Error (m),Heading Error (rad),Desired Velocity (m/s),Command Steer Angle (rad),Integral of CT Error,Integral of Heading Error,Derivative of CT Error,Derivative of Heading Error
-0.0038238788546644384,0.003800403328493401,5.991602152858565,-0.04718188185067965,-0.0019119394273322192,0.0019002016642467004,-0.038238788546644385,0.038004033284934007
-0.0029593319263881636,0.0037008680390550855,5.991602152858565,-0.03303857558075101,-0.005303544817858521,0.005650837348020944,-0.023426764008379272,0.030189342783688598
-0.001480272398863907,0.003424705524625176,5.991602152858565,-0.013938677715098087,-0.007523346980484557,0.009213624129861075,-0.005721356665726162,0.02218980305547331
-5.8680557802845194e-05,0.0030989838319987603,5.991602152858565,0.0023648005402044947,-0.008292823458817933,0.012475468808173042,0.008242452192233705,0.015194187112419842
0.0008716280232197322,0.0028602005055880383,5.991602152858565,0.011531606121780585,-0.00788634972610949,0.015455060976966441,0.015201175257487369,0.010260850124609668
0.001167310104629128,0.002796303606206922,5.991602152858565,0.012827327357978365,-0.006866880662185059,0.018283313032863922,0.01512534413257508,0.007814360107579578
0.0009370400070620251,0.002898947407465796,5.991602152858565,0.008317381942153878,-0.005814705606339482,0.02113093853970028,0.010281917039678677,0.007326692826736694
0.0004232436762388427,0.003107289740270232,5.991602152858565,0.0012675889054473836,-0.005134563764689048,0.024134057113568294,0.003741601843162712,0.007888588065552165
-0.00010823242664075303,0.003355658854056787,5.991602152858565,-0.005177749871448712,-0.004977058139890004,0.027365531410731805,-0.0017702903363177422,0.008712200360784092
-0.0004971484916174556,0.0036071205218046916,5.991602152858565,-0.009384453569238307,-0.005279748599019108,0.030846921098662543,-0.00498401995677545,0.009414179092895207
-0.0006622297828133625,0.0037891216755466493,5.991602152858565,-0.010716069059121794,-0.005859437736234516,0.03454504219733821,-0.0055785735209608845,0.009357066110022965
-0.0006136453258771187,0.00390866589514016,5.991602152858565,-0.009611686007801214,-0.006497375290579757,0.03839393598268162,-0.004122610545002145,0.008742546995414345
-0.0004429494917154289,0.004022896175533549,5.991602152858565,-0.0073549861084095825,-0.007025672699376031,0.042359717018018474,-0.0018212646808045746,0.008191450090733455
-0.00024722816691162775,0.004178994327589371,5.991602152858565,-0.005133797163406167,-0.007370761528689559,0.046460662269579935,0.0002891591230126313,0.008121169638380292
-0.0001117715058960867,0.004367270678670706,5.991602152858565,-0.003851953541873512,-0.007550261365093416,0.05073379477270997,0.0014680089280607077,0.008356196532141468
-5.662230535707021e-05,0.004591319866919317,5.991602152858565,-0.0036123503571987366,-0.007634458270719995,0.05521309004550498,0.0017024545824043656,0.00887369887401221
-8.864702508109274e-05,0.004860752324932188,5.991602152858565,-0.004379469816806744,-0.007707092935939077,0.05993912614143074,0.0011017835699306394,0.009709685060672456
-0.0001690206726621086,0.0051050581638820685,5.991602152858565,-0.005589823914379751,-0.007835926784810678,0.06492203138583787,0.00017078976102492425,0.010165249949185464
-0.0002529650068789598,0.005322913362588736,5.991602152858565,-0.0067121216280546445,-0.008046919624581213,0.07013601714907328,-0.000623393233860073,0.010297524492121454
-0.000315180620826557,0.005531827839804181,5.991602152858565,-0.00749647056270707,-0.008330992438433972,0.07556338775026973,-0.0010756454999545795,0.010324469831876137
-0.0003446415349940274,0.005683144209106473,5.991602152858565,-0.007840884114155048,-0.008660903516344264,0.08117087377472505,-0.0011479000833034773,0.009822896856101312
-0.00033035172516479317,0.005824284125539432,5.991602152858565,-0.007693840476895342,-0.008998400146423674,0.086924587942048,-0.0008092836151643523,0.009320005758927979
-0.0003067226044014186,0.005962653631083844,5.991602152858565,-0.007488434917166817,-0.00931693731120678,0.09281805682035965,-0.000447330950921974,0.008883363853163
-0.0002710189124286323,0.006048744212034308,5.991602152858565,-0.007169999038739036,-0.009605808069621805,0.09882375574191873,-4.141903281992137e-05,0.008050848433955758
-0.00023838120608365174,0.006106269240500721,5.991602152858565,-0.006920953880514916,-0.009860508128877947,0.10490126246818625,0.00026281812173806955,0.007110012613840289
-0.0002108988339307909,0.006123053680399469,5.991602152858565,-0.0067439825345711,-0.010085148148885168,0.11101592392863635,0.00046487275553897347,0.005969868864948855
-0.00018857534148562625,0.006109084561467616,5.991602152858565,-0.00663033537542285,-0.010284885236593377,0.1171319930495699,0.0005832912767606568,0.004757446171941307
-0.0001704866672028206,0.006131487192678201,5.991602152858565,-0.006592358620824147,-0.0104644162409376,0.1232522789266428,0.0006416808108296796,0.00409611624259366
-0.00017151088065665626,0.006232199858074288,5.991602152858565,-0.006808341810800129,-0.010635415014867339,0.12943412245201905,0.0005157005410985044,0.004266937520268325
-0.0001895930769557586,0.006391981361749725,5.991602152858565,-0.0072242786645845105,-0.010815966993673546,0.13574621306193105,0.00025755320363420996,0.004943689822723521
-0.000220265225046856,0.006577757287093871,5.991602152858565,-0.007759716231455381,-0.011020896144674852,0.14223108238635285,-6.811236149107723e-05,0.005733709176266024
-0.0002486085652920077,0.00677723672271501,5.991602152858565,-0.008237001840010074,-0.011255333039844283,0.1489085793912573,-0.00031339502526680585,0.006504666013500735
-0.0002730042473987146,0.007012153730443531,5.991602152858565,-0.008660467085237997,-0.011516139446189644,0.15580327461783655,-0.00047819303982472215,0.0074576086267598846
-0.000294131373929682,0.007287138182767353,5.991602152858565,-0.00905085308447232,-0.011799707256853843,0.162952920574442,-0.00058331363741084,0.008601538443020099
-0.00031545548605158485,0.007534504596781344,5.991602152858565,-0.009420716969331028,-0.012104500686844476,0.17036374196421633,-0.000671112177171622,0.009286407944416363
-0.00031917821373610654,0.00773510445012537,5.991602152858565,-0.009565778300720537,-0.012421817536738322,0.1779985464876697,-0.0005829347602724332,0.009421605166740893
-0.00031532898214830596,0.007956902144092646,5.991602152858565,-0.009652079647633205,-0.012739071134680528,0.1858445497847787,-0.00044195360760653147,0.009724928717945069
-0.0003152639923213742,0.008207614326065874,5.991602152858565,-0.009814914163549892,-0.013054367621915369,0.19392680801985798,-0.000361007589615055,0.010235961514438948
-0.00032305087363906524,0.008513118777408814,5.991602152858565,-0.010104488814897419,-0.013373525054895589,0.20228717457159534,-0.0003661596762095091,0.011152190796749503
-0.0003498539312406267,0.008874516404562736,5.991602152858565,-0.010634733255779943,-0.013709977457335435,0.21098099216258112,-0.0005432493496401571,0.012409952716921607
-0.0003878746129440282,0.009208131811205805,5.991602152858565,-0.01125757575681375,-0.014078841729427763,0.2200223162704654,-0.0007901193015546871,0.01318646501060012
-0.000415480336796292,0.009532921976725228,5.991602152858565,-0.011735728952511144,-0.014480519204297923,0.22939284316443093,-0.0008974223726562331,0.013741563786122122
-0.0004426561943857557,0.00984403227898345,5.991602152858565,-0.012195207663149622,-0.014909587469888947,0.23908132029228527,-0.0009813079193502251,0.014071373118265583
-0.0004521497400182821,0.010074034368035842,5.991602152858565,-0.012414366165899793,-0.015356990437090967,0.2490403536157949,-0.0008891932579458788,0.013603869724511766
-0.00044151819065768496,0.010222046481594544,5.991602152858565,-0.012386472927845948,-0.01580382440242895,0.2591883940406101,-0.000630871307768472,0.012476003534225094
-0.0004104975716191334,0.010320823779250629,5.991602152858565,-0.01214347649722601,-0.016229832283567357,0.2694598291710327,-0.00023416180600555362,0.011105614688512212
-0.000375443298268836,0.010431751179862572,5.991602152858565,-0.011911652348600432,-0.01662280271851134,0.27983611665058933,0.00012708828008906875,0.010094842932527655
-0.00035193472343953146,0.010595524293756453,5.991602152858565,-0.0118774097664418,-0.016986491729365522,0.29034975438739885,0.00031769563670291565,0.009748263434739727
-0.0003524217303338523,0.010758154599675458,5.991602152858565,-0.012129798017794114,-0.017338669956252214,0.3010265938341148,0.00025550545826310525,0.009454309227687094
