Cross-Track Error (m),Heading Error (rad),Desired Velocity (m/s),Command Steer Angle (rad),Integral of CT Error,Integral of Heading Error,Derivative of CT Error,Derivative of Heading Error
0.08343003899426124,-0.05220317842651401,1.0779911342804596,1.4168834273554485,0.04171501949713062,-0.026101589213257004,0.8343003899426125,-0.5220317842651401
0.18289584067624914,-0.18050561443310897,1.0779911342804596,1.5710234272114905,0.1748779593323858,-0.1424559856430685,1.5868439706983914,-1.5935026962768872
0.16108908668599684,-0.20722739096811083,1.0779911342804596,1.5604205548665047,0.3468704230135088,-0.3363224883436784,1.1000836670236631,-1.5467001745447428
0.13310368752677074,-0.20428041352549187,1.0779911342804596,1.5174773157252777,0.4939668101198926,-0.5420763905904797,0.6456557352082144,-1.2386912569673447
0.10536020466640364,-0.2012743196580571,1.0779911342804596,1.4466136558442801,0.6131987562164798,-0.7448537571822542,0.2760503028033835,-0.9861465387238747
0.07879717531132106,-0.20103516913692676,1.0779911342804596,1.3163628795879692,0.7052774462053422,-0.9460085015797461,-0.015622746388891495,-0.8046730724001672
0.05456488055993387,-0.19820253334986315,1.0779911342804596,1.0370992730915716,0.7719584741409696,-1.145627352823141,-0.23307583569443116,-0.6326176429904676
0.035360846096029366,-0.19634389558219922,1.0779911342804596,0.5435947149193603,0.8169213374689512,-1.3429005672891723,-0.3652805425127573,-0.500699546377074
0.025340536821218677,-0.19648482761859132,1.0779911342804596,0.3274967227273834,0.8472720289275752,-1.5393149288895676,-0.38995961909962595,-0.41094446554844327
0.020965694244911348,-0.19784479766251906,1.0779911342804596,0.4262462117385278,0.8704251444606402,-1.7364797415301227,-0.3588291663206697,-0.3485906540298876
0.01631248856790535,-0.199335507280761,1.0779911342804596,0.47515394822198825,0.8890642358670486,-1.9350698940017628,-0.3358893695078751,-0.29876244073574376
0.010847084979724093,-0.20077843496313097,1.0779911342804596,0.45546472789259546,0.9026440226408634,-2.1351268651237088,-0.324504062217182,-0.2575595213507902
0.005545725118221912,-0.20531305425751878,1.0779911342804596,0.4283903991116219,0.9108404276898364,-2.3381726097340336,-0.31369750419135056,-0.25195432923599026
0.0007585604908339483,-0.20714845163246753,1.0779911342804596,0.4109974685084753,0.9139925704943643,-2.544403362679027,-0.30018127276917733,-0.2228298818744352
-0.0035634078428478503,-0.20930687718731456,1.0779911342804596,0.4012489255605773,0.9125901468183574,-2.752631027088918,-0.28489348075370685,-0.20193740839587443
-0.007612509791043387,-0.2118361186811777,1.0779911342804596,0.38784458267995997,0.9070021880014117,-2.963202525023164,-0.26990468378208327,-0.1882146204499258
-0.011321483191862599,-0.21447905376496657,1.0779911342804596,0.37512955596182657,0.8975351915099588,-3.176360111246236,-0.2545490449200609,-0.17802046294801993
-0.014696301849021612,-0.21723532578906024,1.0779911342804596,0.3630821823387762,0.8845262989895166,-3.3922173010232495,-0.2389475699996772,-0.1707101244492315
-0.0177428125272938,-0.22032878053536464,1.0779911342804596,0.351882851713207,0.8683067418013589,-3.610999354185462,-0.2231981088931195,-0.1677942358794113
-0.02047045942830411,-0.22348578033481736,1.0779911342804596,0.3413202182409303,0.84920010582356,-3.832906634620553,-0.20741342455810055,-0.1659861911690885
-0.022894479717776722,-0.226432554053269,1.0779911342804596,0.33091251722788095,0.8275176362505196,-4.0578658018145966,-0.1917384409063787,-0.16259573566972368
-0.025027334384225268,-0.22902641930406986,1.0779911342804596,0.3204889217986443,0.8035567291995186,-4.2855952884932655,-0.17626649407293304,-0.15661346782796354
-0.026882686410657573,-0.23156958357445134,1.0779911342804596,0.31008070670935217,0.7776017188020772,-4.515893289932526,-0.16108487720905704,-0.15125796704452904
-0.028453219435071814,-0.23444246908825583,1.0779911342804596,0.301052790674451,0.7499337658792125,-4.74889931626388,-0.14607429066572153,-0.14987365952556456
-0.029753944404044403,-0.23762847411466748,1.0779911342804596,0.2931690669853278,0.7208301839596544,-4.984934787865342,-0.13134010117170483,-0.1515875853064769
