Cross-Track Error (m),Heading Error (rad),Desired Velocity (m/s),Command Steer Angle (rad)
-5.2378820866434686e-05,5.8226932126995674e-05,30.137223862737578,-0.00015251223296978893
-9.206793485466721e-05,9.440653097452482e-05,30.137223862737578,-0.0002457950403177687
-0.00015097453015033635,0.00013431224176251787,30.137223862737578,-0.00037793948094224815
-0.0002220467569990121,0.0001749239295780926,30.137223862737578,-0.0005293476235348651
-0.0003071294064534486,0.0002211497400282183,30.137223862737578,-0.0007061625207823481
-0.00040520252033406654,0.00026473112475685305,30.137223862737578,-0.0009014591279035528
-0.0005075236059217707,0.00030111673850058017,30.137223862737578,-0.0010936177780665906
-0.0006086992525561232,0.0003277717134143869,30.137223862737578,-0.0012713980344294439
-0.0006989155037165438,0.00034212206411265365,30.137223862737578,-0.0014146156357748513
-0.0007723458541486331,0.00034314712847515936,30.137223862737578,-0.001514182985104581
-0.0008212120895603134,0.00032517402406636816,30.137223862737578,-0.001554685172376008
-0.0008361418774087884,0.00028786663835859045,30.137223862737578,-0.0015204433673082793
-0.0008130821823693883,0.00024036009174188677,30.137223862737578,-0.001412958071722423
-0.0007577216024387103,0.0001921716265697975,30.137223862737578,-0.0012547674263044962
-0.0006796633944270236,0.00013720079257070256,30.137223862737578,-0.0010666399893594994
-0.000576924296748408,8.128882494873963e-05,30.137223862737578,-0.0008468997100236144
-0.0004662099015804757,3.946366758165955e-05,30.137223862737578,-0.0006398530227226325
-0.00036207475335786545,5.478048953453003e-07,30.137223862737578,-0.000468198249993199
-0.00026275631691206826,-3.8865562118850505e-05,30.137223862737578,-0.00032010937469748745
-0.00017533197188493395,-7.098197182831001e-05,30.137223862737578,-0.00021043318203067872
-0.0001045477870163754,-0.00010133604112283479,30.137223862737578,-0.00014164484697576577
-4.679709743156452e-05,-0.00012773919581565707,30.137223862737578,-0.00010176940909848329
-7.188332638785733e-06,-0.00015455899070104806,30.137223862737578,-9.66519107644053e-05
